"Year","District","FIPS","Variable","Value","Measure Type"
"2012-2013","Achievement First Bridgeport Academy District","","Number of students with at least 1 bullying incident","14","Number"
"2012-2013","Achievement First Bridgeport Academy District","","Counts of Bullying Incidents","14","Number"
"2013-2014","Achievement First Bridgeport Academy District","","Number of students with at least 1 bullying incident","7","Number"
"2013-2014","Achievement First Bridgeport Academy District","","Counts of Bullying Incidents","7","Number"
"2014-2015","Achievement First Bridgeport Academy District","","Number of students with at least 1 bullying incident","7","Number"
"2014-2015","Achievement First Bridgeport Academy District","","Counts of Bullying Incidents","7","Number"
"2015-2016","Achievement First Bridgeport Academy District","","Number of students with at least 1 bullying incident","8","Number"
"2015-2016","Achievement First Bridgeport Academy District","","Counts of Bullying Incidents","11","Number"
"2012-2013","Achievement First Hartford Academy District","","Number of students with at least 1 bullying incident","8","Number"
"2012-2013","Achievement First Hartford Academy District","","Counts of Bullying Incidents","8","Number"
"2013-2014","Achievement First Hartford Academy District","","Number of students with at least 1 bullying incident","10","Number"
"2013-2014","Achievement First Hartford Academy District","","Counts of Bullying Incidents","12","Number"
"2014-2015","Achievement First Hartford Academy District","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Achievement First Hartford Academy District","","Counts of Bullying Incidents","7","Number"
"2015-2016","Achievement First Hartford Academy District","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Achievement First Hartford Academy District","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Amistad Academy District","","Number of students with at least 1 bullying incident","12","Number"
"2012-2013","Amistad Academy District","","Counts of Bullying Incidents","15","Number"
"2013-2014","Amistad Academy District","","Number of students with at least 1 bullying incident","8","Number"
"2013-2014","Amistad Academy District","","Counts of Bullying Incidents","9","Number"
"2014-2015","Amistad Academy District","","Number of students with at least 1 bullying incident","8","Number"
"2014-2015","Amistad Academy District","","Counts of Bullying Incidents","10","Number"
"2015-2016","Amistad Academy District","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Amistad Academy District","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Andover School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Andover School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Andover School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Andover School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Andover School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Andover School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Andover School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Andover School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Ansonia School District","900901220","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Ansonia School District","900901220","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Ansonia School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Ansonia School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Ansonia School District","900901220","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Ansonia School District","900901220","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Ansonia School District","900901220","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Ansonia School District","900901220","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Area Cooperative Educational Services","","Number of students with at least 1 bullying incident","6","Number"
"2012-2013","Area Cooperative Educational Services","","Counts of Bullying Incidents","6","Number"
"2013-2014","Area Cooperative Educational Services","","Number of students with at least 1 bullying incident","27","Number"
"2013-2014","Area Cooperative Educational Services","","Counts of Bullying Incidents","31","Number"
"2014-2015","Area Cooperative Educational Services","","Number of students with at least 1 bullying incident","6","Number"
"2014-2015","Area Cooperative Educational Services","","Counts of Bullying Incidents","7","Number"
"2015-2016","Area Cooperative Educational Services","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Area Cooperative Educational Services","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Ashford School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Ashford School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Ashford School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Ashford School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Ashford School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Ashford School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Ashford School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Ashford School District","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Avon School District","900302060","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Avon School District","900302060","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Avon School District","900302060","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Avon School District","900302060","Counts of Bullying Incidents","-9999","Number"
