"Year","District","FIPS","Variable","Value","Measure Type"
"2014-2015","Avon School District","900302060","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Avon School District","900302060","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Avon School District","900302060","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Avon School District","900302060","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Barkhamsted School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Barkhamsted School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Barkhamsted School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Barkhamsted School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Barkhamsted School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Barkhamsted School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Barkhamsted School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Barkhamsted School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Berlin School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Berlin School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Berlin School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Berlin School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Berlin School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Berlin School District","","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Berlin School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Berlin School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Bethany School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Bethany School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Bethany School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Bethany School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Bethany School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Bethany School District","","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Bethany School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Bethany School District","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Bethel School District","900104720","Number of students with at least 1 bullying incident","7","Number"
"2012-2013","Bethel School District","900104720","Counts of Bullying Incidents","11","Number"
"2013-2014","Bethel School District","900104720","Number of students with at least 1 bullying incident","9","Number"
"2013-2014","Bethel School District","900104720","Counts of Bullying Incidents","11","Number"
"2014-2015","Bethel School District","900104720","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Bethel School District","900104720","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Bethel School District","900104720","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Bethel School District","900104720","Counts of Bullying Incidents","8","Number"
"2012-2013","Bloomfield School District","900305910","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Bloomfield School District","900305910","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Bloomfield School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Bloomfield School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Bloomfield School District","900305910","Number of students with at least 1 bullying incident","6","Number"
"2014-2015","Bloomfield School District","900305910","Counts of Bullying Incidents","6","Number"
"2015-2016","Bloomfield School District","900305910","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Bloomfield School District","900305910","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Bolton School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Bolton School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Bolton School District","901306260","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Bolton School District","901306260","Counts of Bullying Incidents","7","Number"
"2014-2015","Bolton School District","901306260","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Bolton School District","901306260","Counts of Bullying Incidents","6","Number"
"2015-2016","Bolton School District","901306260","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Bolton School District","901306260","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Booker T Washington Academy District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Booker T Washington Academy District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Booker T Washington Academy District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Booker T Washington Academy District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Booker T Washington Academy District","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Booker T Washington Academy District","","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Booker T Washington Academy District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Booker T Washington Academy District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Bozrah School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Bozrah School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Bozrah School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Bozrah School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Bozrah School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Bozrah School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Bozrah School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Bozrah School District","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Branford School District","900907310","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Branford School District","900907310","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Branford School District","900907310","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Branford School District","900907310","Counts of Bullying Incidents","8","Number"
"2014-2015","Branford School District","900907310","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Branford School District","900907310","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Branford School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Branford School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Brass City Charter School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Brass City Charter School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Brass City Charter School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Brass City Charter School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Brass City Charter School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Brass City Charter School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Brass City Charter School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Brass City Charter School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Bridgeport School District","900108070","Number of students with at least 1 bullying incident","57","Number"
"2012-2013","Bridgeport School District","900108070","Counts of Bullying Incidents","63","Number"
"2013-2014","Bridgeport School District","900108070","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Bridgeport School District","900108070","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Bridgeport School District","900108070","Number of students with at least 1 bullying incident","46","Number"
"2014-2015","Bridgeport School District","900108070","Counts of Bullying Incidents","50","Number"
"2015-2016","Bridgeport School District","900108070","Number of students with at least 1 bullying incident","28","Number"
"2015-2016","Bridgeport School District","900108070","Counts of Bullying Incidents","40","Number"
"2012-2013","Bristol School District","900308490","Number of students with at least 1 bullying incident","11","Number"
"2012-2013","Bristol School District","900308490","Counts of Bullying Incidents","11","Number"
"2013-2014","Bristol School District","900308490","Number of students with at least 1 bullying incident","9","Number"
"2013-2014","Bristol School District","900308490","Counts of Bullying Incidents","9","Number"
"2014-2015","Bristol School District","900308490","Number of students with at least 1 bullying incident","14","Number"
"2014-2015","Bristol School District","900308490","Counts of Bullying Incidents","17","Number"
"2015-2016","Bristol School District","900308490","Number of students with at least 1 bullying incident","16","Number"
"2015-2016","Bristol School District","900308490","Counts of Bullying Incidents","19","Number"
"2012-2013","Brookfield School District","900108980","Number of students with at least 1 bullying incident","10","Number"
"2012-2013","Brookfield School District","900108980","Counts of Bullying Incidents","10","Number"
"2013-2014","Brookfield School District","900108980","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Brookfield School District","900108980","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Brookfield School District","900108980","Number of students with at least 1 bullying incident","6","Number"
"2014-2015","Brookfield School District","900108980","Counts of Bullying Incidents","6","Number"
"2015-2016","Brookfield School District","900108980","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Brookfield School District","900108980","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Brooklyn School District","","Number of students with at least 1 bullying incident","6","Number"
"2012-2013","Brooklyn School District","","Counts of Bullying Incidents","8","Number"
"2013-2014","Brooklyn School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Brooklyn School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Brooklyn School District","","Number of students with at least 1 bullying incident","6","Number"
"2014-2015","Brooklyn School District","","Counts of Bullying Incidents","7","Number"
"2015-2016","Brooklyn School District","","Number of students with at least 1 bullying incident","9","Number"
"2015-2016","Brooklyn School District","","Counts of Bullying Incidents","13","Number"
"2012-2013","Canaan School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Canaan School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Canaan School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Canaan School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Canaan School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Canaan School District","","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Canaan School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Canaan School District","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Canterbury School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Canterbury School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Canterbury School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Canterbury School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Canterbury School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Canterbury School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Canterbury School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Canterbury School District","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Canton School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Canton School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Canton School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Canton School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Canton School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Canton School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Canton School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Canton School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Capital Preparatory Harbor School Inc. District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Capital Preparatory Harbor School Inc. District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Capital Preparatory Harbor School Inc. District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Capital Preparatory Harbor School Inc. District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Capital Preparatory Harbor School Inc. District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Capital Preparatory Harbor School Inc. District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Capital Preparatory Harbor School Inc. District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Capital Preparatory Harbor School Inc. District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Capitol Region Education Council","","Number of students with at least 1 bullying incident","20","Number"
"2012-2013","Capitol Region Education Council","","Counts of Bullying Incidents","26","Number"
"2013-2014","Capitol Region Education Council","","Number of students with at least 1 bullying incident","9","Number"
"2013-2014","Capitol Region Education Council","","Counts of Bullying Incidents","11","Number"
"2014-2015","Capitol Region Education Council","","Number of students with at least 1 bullying incident","15","Number"
"2014-2015","Capitol Region Education Council","","Counts of Bullying Incidents","22","Number"
"2015-2016","Capitol Region Education Council","","Number of students with at least 1 bullying incident","8","Number"
"2015-2016","Capitol Region Education Council","","Counts of Bullying Incidents","9","Number"
"2012-2013","Chaplin School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Chaplin School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Chaplin School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Chaplin School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Chaplin School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Chaplin School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Chaplin School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Chaplin School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Charter School for Young Children on Asylum Hill","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Charter School for Young Children on Asylum Hill","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Charter School for Young Children on Asylum Hill","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Charter School for Young Children on Asylum Hill","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Charter School for Young Children on Asylum Hill","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Charter School for Young Children on Asylum Hill","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Charter School for Young Children on Asylum Hill","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Charter School for Young Children on Asylum Hill","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Cheshire School District","900914160","Number of students with at least 1 bullying incident","12","Number"
"2012-2013","Cheshire School District","900914160","Counts of Bullying Incidents","12","Number"
"2013-2014","Cheshire School District","900914160","Number of students with at least 1 bullying incident","24","Number"
"2013-2014","Cheshire School District","900914160","Counts of Bullying Incidents","30","Number"
"2014-2015","Cheshire School District","900914160","Number of students with at least 1 bullying incident","20","Number"
"2014-2015","Cheshire School District","900914160","Counts of Bullying Incidents","21","Number"
"2015-2016","Cheshire School District","900914160","Number of students with at least 1 bullying incident","15","Number"
"2015-2016","Cheshire School District","900914160","Counts of Bullying Incidents","19","Number"
"2012-2013","Chester School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Chester School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Chester School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Chester School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Chester School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Chester School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Chester School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Chester School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Clinton School District","900715350","Number of students with at least 1 bullying incident","6","Number"
"2012-2013","Clinton School District","900715350","Counts of Bullying Incidents","12","Number"
"2013-2014","Clinton School District","900715350","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Clinton School District","900715350","Counts of Bullying Incidents","6","Number"
"2014-2015","Clinton School District","900715350","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Clinton School District","900715350","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Clinton School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Clinton School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Colchester School District","901115910","Number of students with at least 1 bullying incident","8","Number"
"2012-2013","Colchester School District","901115910","Counts of Bullying Incidents","8","Number"
"2013-2014","Colchester School District","901115910","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Colchester School District","901115910","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Colchester School District","901115910","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Colchester School District","901115910","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Colchester School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Colchester School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Colebrook School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Colebrook School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Colebrook School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Colebrook School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Colebrook School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Colebrook School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Colebrook School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Colebrook School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Columbia School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Columbia School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Columbia School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Columbia School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Columbia School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Columbia School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Columbia School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Columbia School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Common Ground High School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Common Ground High School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Common Ground High School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Common Ground High School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Common Ground High School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Common Ground High School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Common Ground High School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Common Ground High School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Connecticut","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Connecticut","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Connecticut","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Connecticut","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Connecticut","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Connecticut","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Connecticut","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Connecticut","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Connecticut Technical High School System","","Number of students with at least 1 bullying incident","83","Number"
"2012-2013","Connecticut Technical High School System","","Counts of Bullying Incidents","90","Number"
"2013-2014","Connecticut Technical High School System","","Number of students with at least 1 bullying incident","37","Number"
"2013-2014","Connecticut Technical High School System","","Counts of Bullying Incidents","43","Number"
"2014-2015","Connecticut Technical High School System","","Number of students with at least 1 bullying incident","17","Number"
"2014-2015","Connecticut Technical High School System","","Counts of Bullying Incidents","21","Number"
"2015-2016","Connecticut Technical High School System","","Number of students with at least 1 bullying incident","19","Number"
"2015-2016","Connecticut Technical High School System","","Counts of Bullying Incidents","21","Number"
"2012-2013","Cooperative Educational Services","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Cooperative Educational Services","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Cooperative Educational Services","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Cooperative Educational Services","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Cooperative Educational Services","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Cooperative Educational Services","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Cooperative Educational Services","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Cooperative Educational Services","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Cornwall School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Cornwall School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Cornwall School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Cornwall School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Cornwall School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Cornwall School District","","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Cornwall School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Cornwall School District","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Coventry School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Coventry School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Coventry School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Coventry School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Coventry School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Coventry School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Coventry School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Coventry School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Cromwell School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Cromwell School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Cromwell School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Cromwell School District","","Counts of Bullying Incidents","9","Number"
"2014-2015","Cromwell School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Cromwell School District","","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Cromwell School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Cromwell School District","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Danbury School District","900118500","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Danbury School District","900118500","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Danbury School District","900118500","Number of students with at least 1 bullying incident","10","Number"
"2013-2014","Danbury School District","900118500","Counts of Bullying Incidents","11","Number"
"2014-2015","Danbury School District","900118500","Number of students with at least 1 bullying incident","7","Number"
"2014-2015","Danbury School District","900118500","Counts of Bullying Incidents","8","Number"
"2015-2016","Danbury School District","900118500","Number of students with at least 1 bullying incident","15","Number"
"2015-2016","Danbury School District","900118500","Counts of Bullying Incidents","22","Number"
"2012-2013","Darien School District","900118850","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Darien School District","900118850","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Darien School District","900118850","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Darien School District","900118850","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Darien School District","900118850","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Darien School District","900118850","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Darien School District","","Number of students with at least 1 bullying incident","-6666","Number"
