"Bullying Counts, 2012-13"
"All Districts"

"",,"Bullying Type",
"DISTRICT","District Code","Number of students with at least 1 bullying incident","Counts of Bullying Incidents"
"Achievement First Hartford Academy Inc. District","=""2880013""",8,8
"Amistad Academy District","=""2790013""",12,15
"Ansonia School District","=""0020011""","*","*"
"Area Cooperative Educational Services","=""2440014""",6,6
"Ashford School District","=""0030011""","*","*"
"Avon School District","=""0040011""","*","*"
"Barkhamsted School District","=""0050011""","*","*"
"Berlin School District","=""0070011""","*","*"
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""",7,11
"Bloomfield School District","=""0110011""","*","*"
"Branford School District","=""0140011""","*","*"
"Bridgeport Achievement First District","=""2850013""",14,14
"Bridgeport School District","=""0150011""",57,63
"Bristol School District","=""0170011""",11,11
"Brookfield School District","=""0180011""",10,10
"Brooklyn School District","=""0190011""",6,8
"Canaan School District","=""0210011""","*","*"
"Canterbury School District","=""0220011""","*","*"
"Capitol Region Education Council","=""2410014""",20,26
"Cheshire School District","=""0250011""",12,12
"Clinton School District","=""0270011""",6,12
"Colchester School District","=""0280011""",8,8
"Colebrook School District","=""0290011""","*","*"
"Common Ground High School District","=""2680013""","*","*"
"Connecticut Technical High School System","=""9000016""",83,90
"Cooperative Educational Services","=""2430014""","*","*"
"Coventry School District","=""0320011""","*","*"
"Cromwell School District","=""0330011""","*","*"
"Danbury School District","=""0340011""","*","*"
"Darien School District","=""0350011""","*","*"
"Deep River School District","=""0360011""","*","*"
"Derby School District","=""0370011""","*","*"
"East Granby School District","=""0400011""",7,7
"East Hampton School District","=""0420011""",21,23
"East Hartford School District","=""0430011""",43,46
"East Haven School District","=""0440011""",7,7
"East Lyme School District","=""0450011""","*",6
"East Windsor School District","=""0470011""","*","*"
"Eastford School District","=""0390011""","*","*"
"Ellington School District","=""0480011""","*","*"
"Elm City College Preparatory School District","=""2890013""",6,6
"Enfield School District","=""0490011""",11,12
"Essex School District","=""0500011""","*","*"
"Fairfield School District","=""0510011""",10,12
"Farmington School District","=""0520011""","*","*"
"Glastonbury School District","=""0540011""",8,9
"Granby School District","=""0560011""",6,6
"Greenwich School District","=""0570011""",10,10
"Griswold School District","=""0580011""",6,6
"Groton School District","=""0590011""",9,10
"Guilford School District","=""0600011""","*","*"
"Hamden School District","=""0620011""",8,10
"Hartford School District","=""0640011""",64,70
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""","*","*"
"Highville Charter School District","=""2860013""","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""",6,11
"Jumoke Academy District","=""2610013""","*","*"
"Killingly School District","=""0690011""",24,28
"Learn","=""2450014""","*","*"
"Ledyard School District","=""0720011""",8,8
"Litchfield School District","=""0740011""","*","*"
"Madison School District","=""0760011""","*","*"
"Manchester School District","=""0770011""",6,6
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",16,18
"Middletown School District","=""0830011""","*",8
"Milford School District","=""0840011""",21,22
"Montville School District","=""0860011""","*","*"
"Naugatuck School District","=""0880011""",8,10
"New Beginnings Inc., Family Academy District","=""2800013""","*","*"
"New Britain School District","=""0890011""",47,55
"New Fairfield School District","=""0910011""",12,12
"New Hartford School District","=""0920011""","*","*"
"New Haven School District","=""0930011""",56,64
"New London School District","=""0950011""",39,49
"New Milford School District","=""0960011""",8,9
"Newington School District","=""0940011""",13,18
"Newtown School District","=""0970011""","*","*"
"North Branford School District","=""0990011""","*","*"
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""","*","*"
"Norwalk School District","=""1030011""",19,19
"Norwich Free Academy District","=""9010022""","*","*"
"Norwich School District","=""1040011""","*","*"
"Old Saybrook School District","=""1060011""","*","*"
"Park City Prep Charter School District","=""2830013""","*","*"
"Plainfield School District","=""1090011""",9,11
"Plainville School District","=""1100011""","*","*"
"Plymouth School District","=""1110011""",7,11
"Putnam School District","=""1160011""",6,6
"Redding School District","=""1170011""",7,8
"Regional School District 01","=""2010012""","*","*"
"Regional School District 05","=""2050012""","*","*"
"Regional School District 06","=""2060012""","*","*"
"Regional School District 07","=""2070012""","*","*"
"Regional School District 08","=""2080012""","*","*"
"Regional School District 09","=""2090012""","*","*"
"Regional School District 10","=""2100012""","*","*"
"Regional School District 11","=""2110012""","*","*"
"Regional School District 13","=""2130012""","*","*"
"Regional School District 16","=""2160012""","*","*"
"Regional School District 17","=""2170012""",13,17
"Regional School District 18","=""2180012""","*","*"
"Regional School District 19","=""2190012""","*","*"
"Ridgefield School District","=""1180011""","*","*"
"Seymour School District","=""1240011""","*","*"
"Shelton School District","=""1260011""",10,13
"Side By Side Charter School District","=""2700013""","*","*"
"Simsbury School District","=""1280011""","*","*"
"Somers School District","=""1290011""","*","*"
"South Windsor School District","=""1320011""",11,12
"Southington School District","=""1310011""",7,9
"Sprague School District","=""1330011""","*","*"
"Stafford School District","=""1340011""","*","*"
