"Bullying Counts, 2014-15"
"All Districts"

"",,"Bullying Type",
"DISTRICT","District Code","Number of students with at least 1 bullying incident","Counts of Bullying Incidents"
"Achievement First Hartford Academy Inc. District","=""2880013""","*",7
"Amistad Academy District","=""2790013""",8,10
"Ansonia School District","=""0020011""","*","*"
"Area Cooperative Educational Services","=""2440014""",6,7
"Avon School District","=""0040011""","*","*"
"Berlin School District","=""0070011""","*","*"
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""","*","*"
"Bloomfield School District","=""0110011""",6,6
"Bolton School District","=""0120011""","*",6
"Booker T. Washington Academy District","=""2950013""","*","*"
"Branford School District","=""0140011""","*","*"
"Bridgeport Achievement First District","=""2850013""",7,7
"Bridgeport School District","=""0150011""",46,50
"Bristol School District","=""0170011""",14,17
"Brookfield School District","=""0180011""",6,6
"Brooklyn School District","=""0190011""",6,7
"Canaan School District","=""0210011""","*","*"
"Capitol Region Education Council","=""2410014""",15,22
"Cheshire School District","=""0250011""",20,21
"Clinton School District","=""0270011""","*","*"
"Colchester School District","=""0280011""","*","*"
"Connecticut Technical High School System","=""9000016""",17,21
"Cornwall School District","=""0310011""","*","*"
"Cromwell School District","=""0330011""","*","*"
"Danbury School District","=""0340011""",7,8
"Darien School District","=""0350011""","*","*"
"East Granby School District","=""0400011""","*",6
"East Hampton School District","=""0420011""","*","*"
"East Hartford School District","=""0430011""",24,26
"East Haven School District","=""0440011""","*","*"
"East Lyme School District","=""0450011""","*","*"
"East Windsor School District","=""0470011""","*","*"
"Ellington School District","=""0480011""","*","*"
"Fairfield School District","=""0510011""",7,7
"Farmington School District","=""0520011""",7,8
"Glastonbury School District","=""0540011""",15,18
"Granby School District","=""0560011""","*","*"
"Great Oaks Charter School District","=""2940013""","*","*"
"Greenwich School District","=""0570011""",7,7
"Griswold School District","=""0580011""","*","*"
"Groton School District","=""0590011""","*","*"
"Guilford School District","=""0600011""","*","*"
"Hamden School District","=""0620011""",18,20
"Hartford School District","=""0640011""",44,47
"Hebron School District","=""0670011""","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","*","*"
"Killingly School District","=""0690011""",12,15
"Learn","=""2450014""","*","*"
"Lebanon School District","=""0710011""","*","*"
"Ledyard School District","=""0720011""",8,8
"Litchfield School District","=""0740011""","*","*"
"Madison School District","=""0760011""","*","*"
"Manchester School District","=""0770011""","*","*"
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",14,15
"Middletown School District","=""0830011""","*","*"
"Milford School District","=""0840011""",10,10
"Monroe School District","=""0850011""","*","*"
"Naugatuck School District","=""0880011""","*","*"
"New Britain School District","=""0890011""",18,21
"New Canaan School District","=""0900011""","*","*"
"New Fairfield School District","=""0910011""","*","*"
"New Haven School District","=""0930011""",39,47
"New London School District","=""0950011""",9,9
"New Milford School District","=""0960011""","*","*"
"Newington School District","=""0940011""","*","*"
"Newtown School District","=""0970011""","*",6
"North Branford School District","=""0990011""","*","*"
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""","*","*"
"Norwalk School District","=""1030011""",9,9
"Norwich Free Academy District","=""9010022""",6,6
"Norwich School District","=""1040011""","*","*"
"Old Saybrook School District","=""1060011""","*","*"
"Oxford School District","=""1080011""","*","*"
"Plainfield School District","=""1090011""",9,12
"Plainville School District","=""1100011""","*","*"
"Plymouth School District","=""1110011""","*","*"
"Putnam School District","=""1160011""",6,6
"Regional School District 06","=""2060012""",6,6
"Regional School District 08","=""2080012""","*","*"
"Regional School District 09","=""2090012""","*","*"
"Regional School District 10","=""2100012""","*","*"
"Regional School District 11","=""2110012""","*","*"
"Regional School District 12","=""2120012""","*","*"
"Regional School District 15","=""2150012""","*","*"
"Regional School District 18","=""2180012""",8,9
"Regional School District 19","=""2190012""","*","*"
"Ridgefield School District","=""1180011""",7,7
"Seymour School District","=""1240011""","*","*"
"Shelton School District","=""1260011""",21,41
"Sherman School District","=""1270011""","*","*"
"Somers School District","=""1290011""","*","*"
"South Windsor School District","=""1320011""","*","*"
"Southington School District","=""1310011""",32,36
"Sprague School District","=""1330011""","*","*"
"Stafford School District","=""1340011""","*","*"
"Stamford School District","=""1350011""",9,12
"Stonington School District","=""1370011""","*","*"
"Stratford School District","=""1380011""",13,13
"Suffield School District","=""1390011""","*","*"
"The Bridge Academy District","=""2690013""",8,14
"The Gilbert School District","=""9020022""","*","*"
"Thomaston School District","=""1400011""","*","*"
"Tolland School District","=""1420011""","*","*"
"Torrington School District","=""1430011""","*","*"
"Vernon School District","=""1460011""",7,9
"Wallingford School District","=""1480011""",9,10
"Waterbury School District","=""1510011""",6,7
"Waterford School District","=""1520011""","*","*"
"Watertown School District","=""1530011""","*","*"
"West Hartford School District","=""1550011""","*",7
"West Haven School District","=""1560011""","*","*"
"Wethersfield School District","=""1590011""","*",7
"Wilton School District","=""1610011""","*","*"
"Winchester School District","=""1620011""","*","*"
"Windham School District","=""1630011""","*","*"
"Windsor Locks School District","=""1650011""","*","*"
"Windsor School District","=""1640011""","*","*"
"Wolcott School District","=""1660011""","*","*"
"Woodstock Academy District","=""9030022""","*","*"
"Woodstock School District","=""1690011""","*","*"

