"Bullying Counts, Trend"
"All Districts"

"",,,"Year",,,
"District","District Code","Bullying Type","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","=""2880013""","Number of students with at least 1 bullying incident",8,10,"*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Counts of Bullying Incidents",8,12,"*","*"
"Amistad Academy District","=""2790013""","Number of students with at least 1 bullying incident",12,8,"*","*"
"Amistad Academy District","=""2790013""","Counts of Bullying Incidents",15,"*",10,"*"
"Ansonia School District","=""0020011""","Number of students with at least 1 bullying incident","*",0,"*","*"
"Ansonia School District","=""0020011""","Counts of Bullying Incidents","*",0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Number of students with at least 1 bullying incident",6,27,"*","*"
"Area Cooperative Educational Services","=""2440014""","Counts of Bullying Incidents","*",31,7,"*"
"Ashford School District","=""0030011""","Number of students with at least 1 bullying incident","*","*",0,"*"
"Ashford School District","=""0030011""","Counts of Bullying Incidents","*","*",0,"*"
"Avon School District","=""0040011""","Number of students with at least 1 bullying incident","*","*","*","*"
"Avon School District","=""0040011""","Counts of Bullying Incidents","*","*","*","*"
"Barkhamsted School District","=""0050011""","Number of students with at least 1 bullying incident","*","*",0,0
"Barkhamsted School District","=""0050011""","Counts of Bullying Incidents","*","*",0,0
"Berlin School District","=""0070011""","Number of students with at least 1 bullying incident","*","*","*",0
"Berlin School District","=""0070011""","Counts of Bullying Incidents","*","*","*",0
"Bethany School District","=""0080011""","Number of students with at least 1 bullying incident","*","*","*","*"
"Bethany School District","=""0080011""","Counts of Bullying Incidents","*","*","*","*"
"Bethel School District","=""0090011""","Number of students with at least 1 bullying incident",7,9,"*","*"
"Bethel School District","=""0090011""","Counts of Bullying Incidents",11,11,"*","*"
"Bloomfield School District","=""0110011""","Number of students with at least 1 bullying incident","*",0,6,"*"
"Bloomfield School District","=""0110011""","Counts of Bullying Incidents","*",0,6,"*"
"Bolton School District","=""0120011""","Number of students with at least 1 bullying incident",0,"*","*","*"
"Bolton School District","=""0120011""","Counts of Bullying Incidents",0,7,"*","*"
"Booker T. Washington Academy District","=""2950013""","Number of students with at least 1 bullying incident",0,0,"*",0
"Booker T. Washington Academy District","=""2950013""","Counts of Bullying Incidents",0,0,"*",0
"Bozrah School District","=""0130011""","Number of students with at least 1 bullying incident",0,"*",0,"*"
"Bozrah School District","=""0130011""","Counts of Bullying Incidents",0,"*",0,"*"
"Branford School District","=""0140011""","Number of students with at least 1 bullying incident","*","*","*",0
"Branford School District","=""0140011""","Counts of Bullying Incidents","*",8,"*",0
"Bridgeport Achievement First District","=""2850013""","Number of students with at least 1 bullying incident",14,7,7,8
"Bridgeport Achievement First District","=""2850013""","Counts of Bullying Incidents",14,7,7,11
"Bridgeport School District","=""0150011""","Number of students with at least 1 bullying incident",57,"*",46,"*"
"Bridgeport School District","=""0150011""","Counts of Bullying Incidents",63,"*",50,"*"
"Bristol School District","=""0170011""","Number of students with at least 1 bullying incident",11,9,14,16
"Bristol School District","=""0170011""","Counts of Bullying Incidents",11,9,17,19
